"GEOID","NAME","poverty_rateE","poverty_rateM","unemployment_rateE","unemployment_rateM","no_health_insuranceE","no_health_insuranceM","education_less_than_hsE","education_less_than_hsM","median_ageE","median_ageM","black_populationE","black_populationM","white_populationE","white_populationM","american_indian_alaska_native_aloneE","american_indian_alaska_native_aloneM","asian_aloneE","asian_aloneM","native_hawaiian_other_pacific_islander_aloneE","native_hawaiian_other_pacific_islander_aloneM","male_65_69E","male_65_69M","male_70_74E","male_70_74M","male_75_79E","male_75_79M","male_80_84E","male_80_84M","male_85plusE","male_85plusM","female_65_69E","female_65_69M","female_70_74E","female_70_74M","female_75_79E","female_75_79M","female_80_84E","female_80_84M","female_85plusE","female_85plusM","summary_est","summary_moe","year","total_65plus","poverty_rate_pct","unemployment_rate_pct","no_health_insurance_pct","education_less_than_hs_pct","black_population_pct","white_population_pct","american_indian_pct","asian_pct","pacific_islander_pct","pct_65plus","black_65plus_pct","white_65plus_pct","asian_65plus_pct"
"11001009201","Census Tract 92.01, District of Columbia, District of Columbia",318,157,221,107,64,46,59,67,32.5,5.7,998,207,563,152,3,7,15,17,0,12,79,61,14,20,50,34,3,9,4,6,41,34,13,14,32,36,18,27,0,12,1709,247,2013,254,18.6073727325922,12.9315389116442,3.744880046811,3.45231129315389,58.396723229959,32.9432416617905,0.175541252194266,0.877706260971328,0,14.8624926857812,392.913385826772,221.653543307087,5.90551181102362
"11001009302","Census Tract 93.02, District of Columbia, District of Columbia",34,23,94,49,11,14,38,41,40.3,4.4,778,188,168,65,0,12,138,119,0,12,34,28,2,4,30,27,26,27,0,12,32,26,13,14,23,23,35,30,0,12,1092,208,2013,195,3.11355311355311,8.60805860805861,1.00732600732601,3.47985347985348,71.2454212454212,15.3846153846154,0,12.6373626373626,0,17.8571428571429,398.974358974359,86.1538461538462,70.7692307692308
"11001009507","Census Tract 95.07, District of Columbia, District of Columbia",64,36,75,46,12,17,12,19,49.6,2.7,1416,210,99,124,0,12,22,31,0,12,61,38,9,15,4,7,38,31,0,12,89,40,22,22,33,27,0,12,15,18,1546,167,2013,271,4.13971539456662,4.85122897800776,0.776196636481242,0.776196636481242,91.5912031047865,6.40362225097025,0,1.42302716688228,0,17.529107373868,522.509225092251,36.5313653136531,8.11808118081181
"11001009901","Census Tract 99.01, District of Columbia, District of Columbia",196,107,147,74,36,38,5,11,51.6,5.5,2056,237,152,100,0,12,0,12,0,12,131,61,45,48,50,45,36,27,38,27,108,51,51,35,38,32,65,48,41,25,2279,234,2013,603,8.60026327336551,6.45019745502413,1.57964019306713,0.219394471259324,90.2150065818341,6.66959192628346,0,0,0,26.4589732338745,340.961857379768,25.2072968490879,0
"11001009903","Census Tract 99.03, District of Columbia, District of Columbia",252,143,76,52,62,61,0,12,44,7,1450,194,36,38,29,43,0,12,0,12,42,34,45,45,8,12,11,18,4,6,132,79,48,41,8,12,18,17,10,15,1515,198,2013,326,16.6336633663366,5.01650165016502,4.09240924092409,0,95.7095709570957,2.37623762376238,1.91419141914191,0,0,21.5181518151815,444.78527607362,11.0429447852761,0
"11001009905","Census Tract 99.05, District of Columbia, District of Columbia",604,219,321,122,139,88,40,29,34.5,6.9,2381,294,102,116,1,3,14,20,0,12,49,37,0,12,66,55,0,12,32,31,91,51,14,16,25,26,12,15,12,18,2498,317,2013,301,24.1793434747798,12.8502802241793,5.564451561249,1.60128102481986,95.3162530024019,4.08326661329063,0.0400320256204964,0.56044835868695,0,12.0496397117694,791.029900332226,33.8870431893688,4.65116279069767
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia",741,282,119,56,120,77,13,20,28,4.5,173,97,4266,582,12,26,258,125,0,12,124,70,51,35,47,32,83,68,57,36,87,51,39,31,163,77,77,44,28,25,4866,618,2013,756,15.2281134401973,2.44554048499794,2.46609124537608,0.267159884915742,3.55528154541718,87.6695437731196,0.246609124537608,5.30209617755857,0,15.5363748458693,22.8835978835979,564.285714285714,34.1269841269841
"11001000400","Census Tract 4, District of Columbia, District of Columbia",122,67,19,27,29,39,7,11,47.3,2.7,85,59,1274,155,0,12,111,80,0,12,27,23,26,19,17,17,33,31,50,27,104,47,50,35,39,30,18,14,35,23,1507,187,2013,399,8.09555408095554,1.26078301260783,1.92435301924353,0.46449900464499,5.64034505640345,84.5388188453882,0,7.36562707365627,0,26.4764432647644,21.3032581453634,319.298245614035,27.8195488721804
"11001000901","Census Tract 9.01, District of Columbia, District of Columbia",486,211,247,119,106,102,0,17,20.5,0.5,650,270,6351,610,5,9,287,125,0,17,160,79,86,51,82,48,54,37,84,47,161,58,63,40,94,52,120,53,72,57,7560,666,2013,976,6.42857142857143,3.26719576719577,1.4021164021164,0,8.5978835978836,84.0079365079365,0.0661375661375661,3.7962962962963,0,12.9100529100529,66.5983606557377,650.717213114754,29.405737704918
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia",70,51,62,37,22,28,1,3,43,2.1,43,40,1949,207,0,12,72,46,0,12,65,39,68,39,16,15,23,15,33,23,78,41,42,23,39,23,37,22,17,12,2134,219,2013,418,3.28022492970947,2.90534208059981,1.03092783505155,0.0468603561387067,2.01499531396439,91.3308341143393,0,3.37394564198688,0,19.5876288659794,10.2870813397129,466.267942583732,17.2248803827751
