"GEOID","NAME","Year","HTP","POV","UER","LIN","AGE65","ASIAN","PACIFIC","AMERICANINDIAN","BLACK","WHITE"
"11001002600","Census Tract 26, District of Columbia, District of Columbia",2013,34.8,5.76200417536534,4.71816283924843,1.83716075156576,25.0104384133612,4.63465553235908,0.501043841336117,0.334029227557411,45.3444676409186,41.4613778705637
"11001004002","Census Tract 40.02, District of Columbia, District of Columbia",2013,16.8,3.92523364485981,1.1214953271028,0.710280373831776,10.3177570093458,7.02803738317757,0,0.261682242990654,8.85981308411215,79.6261682242991
"11001005600","Census Tract 56, District of Columbia, District of Columbia",2013,18.9,15.2212967499592,2.18846970439327,1.1432304425935,14.6496815286624,13.3431324514127,0,0,6.30409929772987,74.2609831781806
"11001004600","Census Tract 46, District of Columbia, District of Columbia",2013,27.3,10.1537361458706,5.32713621737576,4.00429031104755,17.7690382552735,3.18198069360029,0,3.21773328566321,59.2777976403289,31.5337861994995
"11001005201","Census Tract 52.01, District of Columbia, District of Columbia",2013,17.2,7.84918594687232,2.70779777206512,3.05055698371894,9.58011996572408,10.7112253641817,0,0.377035132819195,8.31191088260497,72.2193658954584
"11001005900","Census Tract 59, District of Columbia, District of Columbia",2013,18.6,21.6455696202532,7.65822784810127,1.64556962025316,10.7278481012658,9.0506329113924,0,0,27.1518987341772,57.246835443038
"11001007703","Census Tract 77.03, District of Columbia, District of Columbia",2013,37.5,31.2116564417178,9.01073619631902,4.10276073619632,10.5061349693252,0,0,0,97.9486196319018,0
"11001007707","Census Tract 77.07, District of Columbia, District of Columbia",2013,41.8,19.8686371100164,9.05465634529674,3.09641097818438,11.6819141449683,0,0,0,96.2702322308234,1.1963406052076
"11001008100","Census Tract 81, District of Columbia, District of Columbia",2013,20.2,4.00485436893204,1.48665048543689,3.27669902912621,11.3167475728155,2.24514563106796,0,0,14.3507281553398,80.4308252427185
"11001008200","Census Tract 82, District of Columbia, District of Columbia",2013,17.8,7.88948069241012,3.06258322237017,2.72969374167776,15.878828229028,3.42876165113182,0,0,4.16111850865513,87.9161118508655
"11001008410","Census Tract 84.10, District of Columbia, District of Columbia",2013,27.1,7.05128205128205,5.76923076923077,3.7037037037037,17.022792022792,3.27635327635328,0,0,57.2649572649573,36.5384615384615
"11001008804","Census Tract 88.04, District of Columbia, District of Columbia",2013,39.4,34.6096654275093,12.8252788104089,4.38661710037175,16.0223048327138,0,0,0,86.2453531598513,3.53159851301115
"11001009201","Census Tract 92.01, District of Columbia, District of Columbia",2013,23.7,18.6073727325922,12.9315389116442,3.744880046811,14.8624926857812,0.877706260971328,0,0.175541252194266,58.396723229959,32.9432416617905
"11001009302","Census Tract 93.02, District of Columbia, District of Columbia",2013,30.8,3.11355311355311,8.60805860805861,1.00732600732601,17.8571428571429,12.6373626373626,0,0,71.2454212454212,15.3846153846154
"11001009507","Census Tract 95.07, District of Columbia, District of Columbia",2013,40.3,4.13971539456662,4.85122897800776,0.776196636481242,17.529107373868,1.42302716688228,0,0,91.5912031047865,6.40362225097025
"11001009901","Census Tract 99.01, District of Columbia, District of Columbia",2013,44.4,8.60026327336551,6.45019745502413,1.57964019306713,26.4589732338745,0,0,0,90.2150065818341,6.66959192628346
"11001009903","Census Tract 99.03, District of Columbia, District of Columbia",2013,35.8,16.6336633663366,5.01650165016502,4.09240924092409,21.5181518151815,0,0,1.91419141914191,95.7095709570957,2.37623762376238
"11001009905","Census Tract 99.05, District of Columbia, District of Columbia",2013,37.7,24.1793434747798,12.8502802241793,5.564451561249,12.0496397117694,0.56044835868695,0,0.0400320256204964,95.3162530024019,4.08326661329063
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia",2013,16.1,15.2281134401973,2.44554048499794,2.46609124537608,15.5363748458693,5.30209617755857,0,0.246609124537608,3.55528154541718,87.6695437731196
"11001000400","Census Tract 4, District of Columbia, District of Columbia",2013,26.4,8.09555408095554,1.26078301260783,1.92435301924353,26.4764432647644,7.36562707365627,0,0,5.64034505640345,84.5388188453882
"11001000901","Census Tract 9.01, District of Columbia, District of Columbia",2013,18.4,6.42857142857143,3.26719576719577,1.4021164021164,12.9100529100529,3.7962962962963,0,0.0661375661375661,8.5978835978836,84.0079365079365
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia",2013,26.7,3.28022492970947,2.90534208059981,1.03092783505155,19.5876288659794,3.37394564198688,0,0,2.01499531396439,91.3308341143393
"11001001002","Census Tract 10.02, District of Columbia, District of Columbia",2013,17.6,26.7353743558654,2.39466505001516,3.75871476204911,7.6689906032131,10.8820854804486,0,0,6.45650197029403,80.6304940891179
"11001001200","Census Tract 12, District of Columbia, District of Columbia",2013,21.3,6.78034102306921,1.22367101303912,0.421263791374122,18.9969909729188,7.70310932798395,0,0,4.53360080240722,82.9287863590772
"11001002001","Census Tract 20.01, District of Columbia, District of Columbia",2013,31.4,8.43799058084772,4.86656200941915,3.57142857142857,19.7802197802198,7.26059654631083,0,0,43.9167974882261,23.3516483516484
"11001002201","Census Tract 22.01, District of Columbia, District of Columbia",2013,33.9,6.9247546346783,11.041439476554,7.79716466739367,12.2955288985823,1.77208287895311,0,0.517993456924755,74.3456924754635,11.9411123227917
"11001002502","Census Tract 25.02, District of Columbia, District of Columbia",2013,25.9,15.0844073334543,5.22780903975313,4.37465964784897,13.4688691232529,1.70629878380831,0,0.272281720820476,48.2120166999455,31.2397894354692
